iter,fitness,time,XPL,XPT,DIV
0,70902.0,0.109,100.0,0.0,0.488
1,26437.0,1.256,43.44,56.56,0.212
2,6851.0,1.228,15.57,84.43,0.076
3,1570.0,4.037,5.53,94.47,0.027
4,237.0,7.508,2.46,97.54,0.012
5,90.0,5.92,0.82,99.18,0.004
6,85.0,4.501,0.41,99.59,0.002
7,83.0,4.817,0.61,99.39,0.003
8,81.0,4.129,0.41,99.59,0.002
9,81.0,4.632,0.41,99.59,0.002
10,79.0,4.191,0.41,99.59,0.002
11,79.0,4.417,0.41,99.59,0.002
12,79.0,4.344,0.41,99.59,0.002
13,79.0,4.174,0.41,99.59,0.002
14,79.0,4.263,0.41,99.59,0.002
15,79.0,4.2,0.41,99.59,0.002
16,79.0,4.068,0.41,99.59,0.002
17,79.0,4.311,0.41,99.59,0.002
18,79.0,4.296,0.41,99.59,0.002
19,79.0,4.661,0.41,99.59,0.002
20,79.0,4.479,0.41,99.59,0.002
21,79.0,4.564,0.41,99.59,0.002
22,79.0,4.697,0.41,99.59,0.002
23,79.0,4.365,0.41,99.59,0.002
24,79.0,4.567,0.41,99.59,0.002
25,79.0,5.177,0.41,99.59,0.002
26,79.0,4.819,0.41,99.59,0.002
27,79.0,4.734,0.41,99.59,0.002
28,79.0,4.389,0.41,99.59,0.002
29,79.0,4.767,0.41,99.59,0.002
30,79.0,4.719,0.41,99.59,0.002
