iter,fitness,time,XPL,XPT,DIV
0,22408.0,0.113,100.0,0.0,0.487
1,7686.0,1.11,43.94,56.06,0.214
2,2176.0,2.253,20.74,79.26,0.101
3,729.0,2.768,8.01,91.99,0.039
4,532.0,2.122,3.29,96.71,0.016
5,530.0,2.022,1.85,98.15,0.009
6,524.0,2.042,1.64,98.36,0.008
7,521.0,1.866,1.85,98.15,0.009
8,521.0,1.773,1.64,98.36,0.008
9,521.0,1.774,1.64,98.36,0.008
10,521.0,1.806,1.64,98.36,0.008
11,521.0,1.904,1.64,98.36,0.008
12,521.0,1.885,1.44,98.56,0.007
13,521.0,1.743,1.44,98.56,0.007
14,520.0,1.946,1.64,98.36,0.008
15,520.0,1.962,1.85,98.15,0.009
16,520.0,1.786,1.64,98.36,0.008
17,520.0,1.887,1.64,98.36,0.008
18,520.0,1.814,1.64,98.36,0.008
19,520.0,1.866,1.44,98.56,0.007
20,520.0,1.842,1.44,98.56,0.007
21,520.0,1.87,1.44,98.56,0.007
22,520.0,1.813,1.64,98.36,0.008
23,520.0,1.758,1.64,98.36,0.008
24,520.0,1.748,1.64,98.36,0.008
25,520.0,1.804,1.64,98.36,0.008
26,520.0,1.748,1.64,98.36,0.008
27,520.0,1.796,1.64,98.36,0.008
28,520.0,1.651,1.44,98.56,0.007
29,520.0,1.654,1.44,98.56,0.007
30,520.0,1.623,1.64,98.36,0.008
