iter,fitness,time,XPL,XPT,DIV
0,49419.0,0.068,100.0,0.0,0.488
1,25481.0,0.801,45.7,54.3,0.223
2,13104.0,0.849,23.98,76.02,0.117
3,5790.0,2.02,13.11,86.89,0.064
4,2342.0,4.319,8.2,91.8,0.04
5,1165.0,4.337,4.51,95.49,0.022
6,584.0,4.408,2.66,97.34,0.013
7,347.0,3.817,1.84,98.16,0.009
8,333.0,3.948,1.43,98.57,0.007
9,326.0,3.436,1.02,98.98,0.005
10,324.0,3.568,1.02,98.98,0.005
11,318.0,3.288,0.82,99.18,0.004
12,318.0,3.41,1.02,98.98,0.005
13,317.0,3.432,0.82,99.18,0.004
14,317.0,3.388,0.82,99.18,0.004
15,317.0,3.24,0.61,99.39,0.003
16,317.0,3.236,0.82,99.18,0.004
17,317.0,3.258,0.82,99.18,0.004
18,317.0,3.373,0.82,99.18,0.004
19,317.0,3.264,0.82,99.18,0.004
20,316.0,3.483,0.82,99.18,0.004
21,316.0,3.23,0.82,99.18,0.004
22,316.0,3.288,0.82,99.18,0.004
23,316.0,3.27,1.02,98.98,0.005
24,316.0,3.083,0.82,99.18,0.004
25,316.0,3.22,0.82,99.18,0.004
26,316.0,3.221,0.82,99.18,0.004
27,316.0,3.264,1.02,98.98,0.005
28,316.0,3.141,0.82,99.18,0.004
29,316.0,3.214,0.82,99.18,0.004
30,316.0,3.227,0.82,99.18,0.004
