iter,fitness,time,XPL,XPT,DIV
0,244895.0,0.505,100.0,0.0,0.488
1,121141.0,4.6,46.93,53.07,0.229
2,62334.0,4.531,22.95,77.05,0.112
3,29804.0,4.584,11.89,88.11,0.058
4,13720.0,4.494,5.74,94.26,0.028
5,5411.0,6.226,2.87,97.13,0.014
6,2155.0,31.675,1.64,98.36,0.008
7,791.0,63.237,1.23,98.77,0.006
8,231.0,75.492,0.82,99.18,0.004
9,72.0,64.278,0.61,99.39,0.003
10,61.0,54.389,0.2,99.8,0.001
11,59.0,54.681,0.2,99.8,0.001
12,59.0,52.581,0.2,99.8,0.001
13,59.0,51.028,0.2,99.8,0.001
14,59.0,48.393,0.2,99.8,0.001
15,59.0,51.91,0.2,99.8,0.001
16,59.0,44.316,0.0,100.0,0.0
17,59.0,46.568,0.2,99.8,0.001
18,59.0,48.427,0.2,99.8,0.001
19,59.0,48.223,0.2,99.8,0.001
20,59.0,50.868,0.2,99.8,0.001
21,59.0,46.554,0.2,99.8,0.001
22,59.0,43.383,0.0,100.0,0.0
23,59.0,48.772,0.2,99.8,0.001
24,59.0,46.498,0.2,99.8,0.001
25,59.0,47.867,0.2,99.8,0.001
26,59.0,46.876,0.2,99.8,0.001
27,57.0,46.596,0.2,99.8,0.001
28,57.0,53.994,0.2,99.8,0.001
29,57.0,45.091,0.2,99.8,0.001
30,57.0,41.754,0.0,100.0,0.0
