iter,fitness,time,XPL,XPT,DIV
0,48612.0,0.065,100.0,0.0,0.487
1,21434.0,0.779,44.76,55.24,0.218
2,10182.0,1.036,20.94,79.06,0.102
3,4154.0,2.66,11.7,88.3,0.057
4,1716.0,4.703,6.98,93.02,0.034
5,688.0,4.073,3.9,96.1,0.019
6,353.0,4.219,2.26,97.74,0.011
7,333.0,3.573,1.23,98.77,0.006
8,324.0,3.637,1.03,98.97,0.005
9,324.0,3.384,1.03,98.97,0.005
10,324.0,3.591,1.03,98.97,0.005
11,323.0,3.23,0.82,99.18,0.004
12,323.0,3.404,0.82,99.18,0.004
13,323.0,3.254,0.82,99.18,0.004
14,323.0,3.037,0.82,99.18,0.004
15,323.0,3.179,0.82,99.18,0.004
16,323.0,3.225,0.82,99.18,0.004
17,323.0,3.052,0.62,99.38,0.003
18,323.0,3.171,0.62,99.38,0.003
19,323.0,2.967,0.62,99.38,0.003
20,323.0,3.137,0.62,99.38,0.003
21,323.0,3.121,1.03,98.97,0.005
22,323.0,3.084,0.82,99.18,0.004
23,323.0,2.892,0.82,99.18,0.004
24,323.0,3.083,0.82,99.18,0.004
25,323.0,3.199,1.03,98.97,0.005
26,323.0,3.188,1.03,98.97,0.005
27,323.0,3.226,1.03,98.97,0.005
28,323.0,2.885,0.62,99.38,0.003
29,323.0,3.23,0.62,99.38,0.003
30,323.0,3.285,0.62,99.38,0.003
