iter,fitness,time,XPL,XPT,DIV
0,71259.0,0.105,100.0,0.0,0.488
1,46679.0,1.088,40.37,59.63,0.197
2,31366.0,1.082,26.43,73.57,0.129
3,20451.0,1.066,18.24,81.76,0.089
4,13295.0,1.068,12.09,87.91,0.059
5,7892.0,1.069,8.61,91.39,0.042
6,4797.0,1.204,5.12,94.88,0.025
7,2824.0,2.226,3.69,96.31,0.018
8,1519.0,3.503,2.87,97.13,0.014
9,787.0,4.262,2.25,97.75,0.011
10,425.0,4.219,1.43,98.57,0.007
11,175.0,4.419,1.23,98.77,0.006
12,93.0,4.383,1.02,98.98,0.005
13,88.0,4.064,0.61,99.39,0.003
14,87.0,4.354,0.61,99.39,0.003
15,83.0,4.156,0.41,99.59,0.002
16,81.0,4.362,0.41,99.59,0.002
17,81.0,4.524,0.41,99.59,0.002
18,80.0,4.348,0.61,99.39,0.003
19,80.0,4.283,0.41,99.59,0.002
20,80.0,4.716,0.61,99.39,0.003
21,80.0,4.275,0.41,99.59,0.002
22,80.0,4.329,0.41,99.59,0.002
23,80.0,4.268,0.41,99.59,0.002
24,80.0,4.362,0.41,99.59,0.002
25,80.0,4.621,0.41,99.59,0.002
26,80.0,4.466,0.41,99.59,0.002
27,80.0,4.36,0.41,99.59,0.002
28,80.0,4.681,0.61,99.39,0.003
29,80.0,4.679,0.61,99.39,0.003
30,80.0,4.261,0.41,99.59,0.002
