iter,fitness,time,XPL,XPT,DIV
0,70616.0,0.102,100.0,0.0,0.487
1,30883.0,1.202,44.35,55.65,0.216
2,14710.0,1.187,19.71,80.29,0.096
3,6799.0,1.201,10.06,89.94,0.049
4,2532.0,2.437,5.13,94.87,0.025
5,841.0,5.777,3.08,96.92,0.015
6,300.0,5.905,1.85,98.15,0.009
7,151.0,4.815,1.03,98.97,0.005
8,88.0,4.959,0.82,99.18,0.004
9,84.0,4.777,0.62,99.38,0.003
10,80.0,4.544,0.41,99.59,0.002
11,80.0,4.511,0.41,99.59,0.002
12,80.0,4.489,0.41,99.59,0.002
13,80.0,4.347,0.41,99.59,0.002
14,80.0,4.423,0.41,99.59,0.002
15,80.0,4.348,0.41,99.59,0.002
16,80.0,4.759,0.62,99.38,0.003
17,80.0,4.815,0.41,99.59,0.002
18,80.0,4.644,0.41,99.59,0.002
19,80.0,4.754,0.41,99.59,0.002
20,80.0,4.694,0.41,99.59,0.002
21,80.0,4.268,0.41,99.59,0.002
22,80.0,4.206,0.41,99.59,0.002
23,80.0,4.258,0.41,99.59,0.002
24,80.0,4.039,0.41,99.59,0.002
25,80.0,4.324,0.41,99.59,0.002
26,80.0,4.2,0.41,99.59,0.002
27,80.0,4.311,0.41,99.59,0.002
28,80.0,4.134,0.41,99.59,0.002
29,80.0,4.371,0.41,99.59,0.002
30,80.0,4.599,0.41,99.59,0.002
