iter,fitness,time,XPL,XPT,DIV
0,23189.0,0.045,100.0,0.0,0.488
1,8326.0,0.585,44.47,55.53,0.217
2,2336.0,2.208,21.11,78.89,0.103
3,798.0,2.583,7.79,92.21,0.038
4,561.0,2.056,3.07,96.93,0.015
5,537.0,1.666,1.84,98.16,0.009
6,530.0,1.609,1.43,98.57,0.007
7,527.0,1.649,1.64,98.36,0.008
8,526.0,1.685,1.84,98.16,0.009
9,522.0,1.744,1.84,98.16,0.009
10,522.0,1.632,1.64,98.36,0.008
11,522.0,1.611,1.43,98.57,0.007
12,520.0,1.661,1.43,98.57,0.007
13,520.0,1.672,1.43,98.57,0.007
14,520.0,1.668,1.43,98.57,0.007
15,520.0,1.628,1.64,98.36,0.008
16,520.0,1.738,1.64,98.36,0.008
17,520.0,1.675,1.84,98.16,0.009
18,520.0,1.72,1.64,98.36,0.008
19,520.0,1.669,1.43,98.57,0.007
20,520.0,1.685,1.64,98.36,0.008
21,520.0,1.673,1.43,98.57,0.007
22,520.0,1.641,1.64,98.36,0.008
23,520.0,1.675,1.84,98.16,0.009
24,520.0,1.652,1.84,98.16,0.009
25,520.0,1.753,1.64,98.36,0.008
26,520.0,1.671,1.84,98.16,0.009
27,520.0,1.727,1.64,98.36,0.008
28,520.0,1.687,1.64,98.36,0.008
29,520.0,1.726,1.84,98.16,0.009
30,520.0,1.667,1.64,98.36,0.008
