iter,fitness,time,XPL,XPT,DIV
0,23508.0,0.326,100.0,0.0,0.488
1,7942.0,0.84,43.65,56.35,0.213
2,2041.0,2.558,19.88,80.12,0.097
3,712.0,2.871,7.58,92.42,0.037
4,550.0,2.191,2.66,97.34,0.013
5,535.0,1.857,1.64,98.36,0.008
6,529.0,1.9,1.64,98.36,0.008
7,528.0,1.821,1.64,98.36,0.008
8,524.0,1.784,1.43,98.57,0.007
9,522.0,1.738,1.64,98.36,0.008
10,522.0,1.875,1.64,98.36,0.008
11,522.0,1.756,1.64,98.36,0.008
12,522.0,1.7,1.64,98.36,0.008
13,522.0,1.693,1.64,98.36,0.008
14,522.0,1.699,1.64,98.36,0.008
15,522.0,1.692,1.64,98.36,0.008
16,522.0,1.64,1.64,98.36,0.008
17,522.0,1.718,1.84,98.16,0.009
18,522.0,1.69,1.64,98.36,0.008
19,522.0,1.702,1.84,98.16,0.009
20,522.0,1.574,1.84,98.16,0.009
21,522.0,1.692,1.64,98.36,0.008
22,522.0,1.638,1.64,98.36,0.008
23,522.0,1.606,1.43,98.57,0.007
24,522.0,1.641,1.84,98.16,0.009
25,522.0,1.591,1.43,98.57,0.007
26,522.0,1.662,1.64,98.36,0.008
27,522.0,1.639,1.64,98.36,0.008
28,522.0,1.705,1.64,98.36,0.008
29,522.0,1.603,1.64,98.36,0.008
30,522.0,1.645,1.64,98.36,0.008
