iter,fitness,time,XPL,XPT,DIV
0,243705.0,0.541,100.0,0.0,0.487
1,109365.0,5.108,45.38,54.62,0.221
2,55693.0,4.945,20.94,79.06,0.102
3,28273.0,5.138,10.68,89.32,0.052
4,14290.0,4.823,5.34,94.66,0.026
5,6045.0,6.103,2.87,97.13,0.014
6,2412.0,36.992,1.64,98.36,0.008
7,889.0,74.67,1.23,98.77,0.006
8,324.0,78.327,0.82,99.18,0.004
9,75.0,74.592,0.62,99.38,0.003
10,62.0,63.418,0.41,99.59,0.002
11,60.0,62.816,0.21,99.79,0.001
12,59.0,67.088,0.21,99.79,0.001
13,58.0,63.762,0.41,99.59,0.002
14,57.0,52.474,0.21,99.79,0.001
15,56.0,54.419,0.21,99.79,0.001
16,56.0,54.441,0.21,99.79,0.001
17,55.0,54.676,0.21,99.79,0.001
18,55.0,53.752,0.21,99.79,0.001
19,55.0,46.845,0.0,100.0,0.0
20,55.0,49.699,0.21,99.79,0.001
21,55.0,43.609,0.0,100.0,0.0
22,55.0,47.747,0.21,99.79,0.001
23,55.0,48.582,0.21,99.79,0.001
24,55.0,48.853,0.21,99.79,0.001
25,55.0,50.976,0.0,100.0,0.0
26,55.0,47.251,0.0,100.0,0.0
27,55.0,46.845,0.21,99.79,0.001
28,55.0,46.045,0.0,100.0,0.0
29,55.0,44.52,0.0,100.0,0.0
30,55.0,46.324,0.21,99.79,0.001
