MH,FITNESS
SCA,73.0
SCA,72.0
SCA,72.0
SCA,73.0
SCA,72.0
SCA,73.0
SCA,72.0
SCA,73.0
SCA,72.0
SCA,72.0
SCA,72.0
SCA,73.0
SCA,72.0
SCA,72.0
SCA,72.0
SCA,72.0
SCA,72.0
SCA,74.0
SCA,72.0
SCA,72.0
SCA,73.0
SCA,72.0
SCA,72.0
SCA,72.0
SCA,73.0
SCA,73.0
SCA,72.0
SCA,73.0
SCA,72.0
SCA,73.0
SCA,72.0
PSA,73.0
PSA,72.0
PSA,72.0
PSA,72.0
PSA,72.0
PSA,73.0
PSA,72.0
PSA,73.0
PSA,73.0
PSA,73.0
PSA,73.0
PSA,73.0
PSA,72.0
PSA,72.0
PSA,73.0
PSA,72.0
PSA,72.0
PSA,73.0
PSA,73.0
PSA,74.0
PSA,73.0
PSA,72.0
PSA,74.0
PSA,73.0
PSA,72.0
PSA,72.0
PSA,72.0
PSA,72.0
PSA,73.0
PSA,72.0
PSA,72.0
GWO,72.0
GWO,72.0
GWO,72.0
GWO,72.0
GWO,72.0
GWO,72.0
GWO,72.0
GWO,72.0
GWO,72.0
GWO,73.0
GWO,72.0
GWO,73.0
GWO,72.0
GWO,72.0
GWO,72.0
GWO,72.0
GWO,73.0
GWO,72.0
GWO,74.0
GWO,73.0
GWO,73.0
GWO,72.0
GWO,72.0
GWO,73.0
GWO,72.0
GWO,72.0
GWO,72.0
GWO,72.0
GWO,73.0
GWO,72.0
GWO,72.0
GO,73.0
GO,72.0
GO,72.0
GO,72.0
GO,72.0
GO,73.0
GO,73.0
GO,72.0
GO,72.0
GO,73.0
GO,72.0
GO,72.0
GO,72.0
GO,72.0
GO,73.0
GO,73.0
GO,73.0
GO,73.0
GO,73.0
GO,73.0
GO,72.0
GO,73.0
GO,74.0
GO,73.0
GO,73.0
GO,73.0
GO,72.0
GO,73.0
GO,72.0
GO,72.0
GO,72.0
