iter,fitness,time,XPL,XPT,DIV
0,22711.0,0.033,100.0,0.0,0.488
1,8043.0,0.659,44.06,55.94,0.215
2,2312.0,2.348,20.29,79.71,0.099
3,797.0,2.37,6.97,93.03,0.034
4,555.0,1.849,2.05,97.95,0.01
5,537.0,1.56,1.43,98.57,0.007
6,528.0,1.623,1.84,98.16,0.009
7,525.0,1.579,1.64,98.36,0.008
8,522.0,1.637,1.84,98.16,0.009
9,522.0,1.684,1.84,98.16,0.009
10,520.0,1.663,1.64,98.36,0.008
11,520.0,1.77,1.64,98.36,0.008
12,520.0,1.626,1.43,98.57,0.007
13,520.0,1.674,1.64,98.36,0.008
14,520.0,1.699,1.64,98.36,0.008
15,520.0,1.648,1.84,98.16,0.009
16,520.0,1.715,1.64,98.36,0.008
17,520.0,1.53,1.23,98.77,0.006
18,520.0,1.617,1.43,98.57,0.007
19,520.0,1.685,1.43,98.57,0.007
20,520.0,1.687,1.64,98.36,0.008
21,520.0,1.784,1.64,98.36,0.008
22,520.0,1.93,1.64,98.36,0.008
23,520.0,1.848,1.64,98.36,0.008
24,520.0,1.817,1.64,98.36,0.008
25,520.0,1.717,1.43,98.57,0.007
26,520.0,1.742,1.64,98.36,0.008
27,520.0,1.78,1.43,98.57,0.007
28,520.0,1.812,1.43,98.57,0.007
29,520.0,1.768,1.64,98.36,0.008
30,520.0,1.855,1.64,98.36,0.008
