iter,fitness,time,XPL,XPT,DIV
0,70865.0,0.122,100.0,0.0,0.487
1,47409.0,1.149,39.43,60.57,0.192
2,31169.0,1.141,27.31,72.69,0.133
3,20756.0,1.173,17.86,82.14,0.087
4,13568.0,1.155,12.11,87.89,0.059
5,8496.0,1.145,7.8,92.2,0.038
6,5469.0,1.22,5.13,94.87,0.025
7,3184.0,2.185,3.7,96.3,0.018
8,1875.0,3.512,2.87,97.13,0.014
9,941.0,4.252,2.26,97.74,0.011
10,523.0,4.595,1.44,98.56,0.007
11,264.0,5.416,1.23,98.77,0.006
12,107.0,4.887,0.82,99.18,0.004
13,94.0,4.76,0.62,99.38,0.003
14,90.0,4.643,0.41,99.59,0.002
15,87.0,4.228,0.41,99.59,0.002
16,85.0,4.654,0.62,99.38,0.003
17,85.0,5.3,0.41,99.59,0.002
18,84.0,5.474,0.41,99.59,0.002
19,84.0,4.751,0.41,99.59,0.002
20,84.0,5.206,0.62,99.38,0.003
21,84.0,5.287,0.41,99.59,0.002
22,84.0,4.718,0.41,99.59,0.002
23,84.0,4.625,0.41,99.59,0.002
24,84.0,5.291,0.62,99.38,0.003
25,84.0,4.922,0.62,99.38,0.003
26,84.0,4.707,0.41,99.59,0.002
27,84.0,4.531,0.41,99.59,0.002
28,84.0,4.981,0.41,99.59,0.002
29,84.0,5.118,0.62,99.38,0.003
30,84.0,5.436,0.62,99.38,0.003
