iter,fitness,time,XPL,XPT,DIV
0,70372.0,0.11,100.0,0.0,0.488
1,34560.0,1.231,45.7,54.3,0.223
2,17349.0,1.21,21.72,78.28,0.106
3,8132.0,1.24,11.27,88.73,0.055
4,3525.0,1.84,5.94,94.06,0.029
5,1594.0,5.047,3.69,96.31,0.018
6,558.0,6.27,2.25,97.75,0.011
7,133.0,6.402,1.43,98.57,0.007
8,90.0,4.894,0.61,99.39,0.003
9,85.0,4.981,0.41,99.59,0.002
10,84.0,5.134,0.41,99.59,0.002
11,84.0,5.23,0.41,99.59,0.002
12,84.0,5.195,0.2,99.8,0.001
13,82.0,4.719,0.41,99.59,0.002
14,82.0,4.955,0.41,99.59,0.002
15,82.0,5.001,0.41,99.59,0.002
16,82.0,5.016,0.41,99.59,0.002
17,82.0,4.758,0.41,99.59,0.002
18,82.0,4.699,0.41,99.59,0.002
19,82.0,4.45,0.2,99.8,0.001
20,82.0,4.791,0.41,99.59,0.002
21,82.0,4.79,0.41,99.59,0.002
22,82.0,4.703,0.41,99.59,0.002
23,82.0,4.868,0.41,99.59,0.002
24,82.0,4.66,0.41,99.59,0.002
25,82.0,4.59,0.41,99.59,0.002
26,82.0,4.451,0.41,99.59,0.002
27,82.0,4.551,0.41,99.59,0.002
28,82.0,4.716,0.41,99.59,0.002
29,82.0,4.679,0.41,99.59,0.002
30,82.0,4.506,0.41,99.59,0.002
