iter,fitness,time,XPL,XPT,DIV
0,48042.0,0.068,100.0,0.0,0.487
1,23911.0,0.801,43.74,56.26,0.213
2,11230.0,1.016,22.18,77.82,0.108
3,5342.0,2.353,12.11,87.89,0.059
4,2270.0,4.28,7.39,92.61,0.036
5,876.0,4.458,4.11,95.89,0.02
6,464.0,3.937,2.67,97.33,0.013
7,343.0,3.609,1.64,98.36,0.008
8,333.0,3.537,0.82,99.18,0.004
9,330.0,3.33,1.03,98.97,0.005
10,328.0,3.576,0.82,99.18,0.004
11,327.0,3.277,0.82,99.18,0.004
12,325.0,3.444,0.62,99.38,0.003
13,323.0,3.331,0.82,99.18,0.004
14,323.0,3.176,0.62,99.38,0.003
15,323.0,3.363,0.82,99.18,0.004
16,323.0,3.342,0.62,99.38,0.003
17,322.0,3.248,0.62,99.38,0.003
18,322.0,3.267,0.82,99.18,0.004
19,322.0,3.194,0.62,99.38,0.003
20,322.0,3.168,0.82,99.18,0.004
21,322.0,3.287,0.62,99.38,0.003
22,322.0,3.378,0.82,99.18,0.004
23,322.0,3.211,0.82,99.18,0.004
24,322.0,3.072,0.62,99.38,0.003
25,322.0,3.081,0.62,99.38,0.003
26,322.0,3.346,0.62,99.38,0.003
27,322.0,3.154,0.62,99.38,0.003
28,322.0,3.421,0.82,99.18,0.004
29,322.0,3.336,0.82,99.18,0.004
30,322.0,3.104,0.62,99.38,0.003
