MH,FITNESS
SCA,3.055830193212051e-61
SCA,1.0929547272295454e-61
SCA,7.187746133176391e-62
SCA,3.3864595999529154e-66
SCA,1.659152701924311e-64
SCA,7.434256080211122e-58
SCA,1.3757605297112311e-62
SCA,9.971956612637412e-63
SCA,1.2720386117930772e-54
SCA,3.8387220704419683e-66
SCA,3.9998361262802615e-57
SCA,5.401985023693407e-62
SCA,7.161141026265899e-61
SCA,2.0081110989298968e-56
SCA,6.378057097837442e-58
SCA,1.7244161179232334e-58
SCA,1.4025377889592265e-56
SCA,5.9093728795108276e-61
SCA,2.857210828013937e-57
SCA,7.756677432165295e-61
SCA,1.0932698657274113e-61
SCA,2.3470677297521549e-57
SCA,7.046035997266391e-60
SCA,3.164456031839436e-59
SCA,8.467435120706076e-63
SCA,1.7663673341989987e-62
SCA,6.801162351912079e-63
SCA,9.005880627351146e-60
SCA,4.152953688291297e-63
SCA,3.842056863219904e-61
SCA,1.5572381820621472e-60
PSA,20000.000000000025
PSA,20000.000000000025
PSA,30000.000000000524
PSA,7.793854090874452e-22
PSA,30000.000000000036
PSA,30000.000000000204
PSA,20000.00000000009
PSA,30000.00000000008
PSA,30000.000000000025
PSA,2.560616900760949e-26
PSA,10000.00000000005
PSA,20000.00000000001
PSA,30000.000000000047
PSA,20000.000000000236
PSA,20000.00000000005
PSA,20000.000000000644
PSA,20000.000000000065
PSA,10000.00000000002
PSA,20000.00000000009
PSA,50000.00000000008
PSA,20000.00000000005
PSA,9.635038359855529e-22
PSA,10000.000000001311
PSA,30000.00000000008
PSA,20000.000000000065
PSA,20000.000000000127
PSA,20000.000000000357
PSA,10000.000000000106
PSA,30000.00000000001
PSA,30000.000000000025
PSA,20000.00000000004
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GWO,0.0
GO,0.4762782553963118
GO,0.3644545038583155
GO,0.6340649482088536
GO,0.9757216268764124
GO,0.7139264368954822
GO,0.7089453698510169
GO,0.4901651416590584
GO,0.6725997996957771
GO,0.3467470353091049
GO,0.5460788923634285
GO,0.4949030849160293
GO,0.3020821010081953
GO,0.9717729239967684
GO,0.7797656908034982
GO,0.4256433199875625
GO,0.6714362311956403
GO,0.6802946669395876
GO,1.0604122352714025
GO,0.531045457873656
GO,0.4970468419999231
GO,0.7982657486266448
GO,0.4116514263757839
GO,0.4830409660149946
GO,0.9625656813388322
GO,0.7229672412539078
GO,0.4858050809091583
GO,0.549124322958671
GO,1.1511908891407427
GO,0.549975856886025
GO,0.7750887217031991
GO,0.859047218545172
