iter,fitness,time,XPL,XPT,DIV
0,70505.0,0.265,100.0,0.0,0.487
1,42548.0,1.015,44.35,55.65,0.216
2,25233.0,1.016,27.1,72.9,0.132
3,14030.0,1.006,16.02,83.98,0.078
4,7816.0,1.003,9.65,90.35,0.047
5,4248.0,1.364,5.75,94.25,0.028
6,1923.0,2.704,3.7,96.3,0.018
7,866.0,4.635,2.46,97.54,0.012
8,325.0,4.648,1.44,98.56,0.007
9,155.0,4.81,1.03,98.97,0.005
10,88.0,4.529,0.82,99.18,0.004
11,85.0,4.696,0.41,99.59,0.002
12,81.0,4.48,0.41,99.59,0.002
13,80.0,4.537,0.41,99.59,0.002
14,80.0,4.673,0.41,99.59,0.002
15,80.0,4.732,0.41,99.59,0.002
16,80.0,4.293,0.41,99.59,0.002
17,80.0,4.374,0.21,99.79,0.001
18,80.0,4.196,0.21,99.79,0.001
19,80.0,4.247,0.41,99.59,0.002
20,80.0,4.36,0.41,99.59,0.002
21,79.0,4.2,0.41,99.59,0.002
22,79.0,4.391,0.41,99.59,0.002
23,79.0,4.353,0.41,99.59,0.002
24,79.0,4.25,0.41,99.59,0.002
25,79.0,4.313,0.41,99.59,0.002
26,79.0,4.402,0.41,99.59,0.002
27,79.0,4.149,0.41,99.59,0.002
28,79.0,4.193,0.41,99.59,0.002
29,79.0,4.419,0.41,99.59,0.002
30,79.0,4.446,0.41,99.59,0.002
