iter,fitness,time,XPL,XPT,DIV
0,71705.0,0.107,100.0,0.0,0.488
1,48117.0,1.166,39.96,60.04,0.195
2,32410.0,1.152,27.46,72.54,0.134
3,21239.0,1.149,18.85,81.15,0.092
4,13676.0,1.202,12.5,87.5,0.061
5,8106.0,1.158,8.4,91.6,0.041
6,4989.0,1.334,5.12,94.88,0.025
7,2860.0,2.081,3.48,96.52,0.017
8,1462.0,3.559,2.66,97.34,0.013
9,815.0,4.458,2.05,97.95,0.01
10,284.0,4.545,1.64,98.36,0.008
11,154.0,4.357,1.02,98.98,0.005
12,104.0,4.791,0.82,99.18,0.004
13,89.0,4.809,0.61,99.39,0.003
14,86.0,4.86,0.61,99.39,0.003
15,85.0,4.502,0.61,99.39,0.003
16,84.0,4.907,0.61,99.39,0.003
17,84.0,4.593,0.61,99.39,0.003
18,83.0,4.797,0.61,99.39,0.003
19,83.0,4.595,0.61,99.39,0.003
20,82.0,5.088,0.61,99.39,0.003
21,82.0,4.765,0.82,99.18,0.004
22,82.0,4.466,0.61,99.39,0.003
23,82.0,4.552,0.61,99.39,0.003
24,82.0,4.701,0.61,99.39,0.003
25,82.0,4.889,0.82,99.18,0.004
26,82.0,4.681,0.61,99.39,0.003
27,82.0,4.676,0.61,99.39,0.003
28,82.0,4.532,0.61,99.39,0.003
29,82.0,4.776,0.61,99.39,0.003
30,82.0,4.701,0.61,99.39,0.003
