iter,fitness,time,XPL,XPT,DIV
0,70717.0,0.103,100.0,0.0,0.488
1,48219.0,1.086,39.75,60.25,0.194
2,32226.0,1.07,27.87,72.13,0.136
3,21351.0,1.061,18.24,81.76,0.089
4,13566.0,1.061,12.5,87.5,0.061
5,8665.0,1.068,8.4,91.6,0.041
6,5178.0,1.222,5.33,94.67,0.026
7,2873.0,1.823,3.48,96.52,0.017
8,1568.0,3.748,2.87,97.13,0.014
9,885.0,4.147,2.05,97.95,0.01
10,418.0,3.953,1.23,98.77,0.006
11,170.0,3.956,1.02,98.98,0.005
12,94.0,3.762,0.61,99.39,0.003
13,85.0,4.024,0.41,99.59,0.002
14,84.0,4.043,0.41,99.59,0.002
15,83.0,4.042,0.41,99.59,0.002
16,83.0,3.897,0.41,99.59,0.002
17,83.0,4.121,0.41,99.59,0.002
18,83.0,4.165,0.41,99.59,0.002
19,83.0,3.938,0.41,99.59,0.002
20,83.0,4.141,0.41,99.59,0.002
21,83.0,4.015,0.41,99.59,0.002
22,83.0,4.277,0.41,99.59,0.002
23,83.0,4.017,0.2,99.8,0.001
24,83.0,4.117,0.2,99.8,0.001
25,83.0,4.013,0.2,99.8,0.001
26,83.0,4.136,0.41,99.59,0.002
27,83.0,3.878,0.2,99.8,0.001
28,83.0,4.126,0.41,99.59,0.002
29,83.0,4.1,0.41,99.59,0.002
30,83.0,4.168,0.41,99.59,0.002
