iter,fitness,time,XPL,XPT,DIV
0,48773.0,0.069,100.0,0.0,0.487
1,22846.0,0.817,45.59,54.41,0.222
2,10424.0,0.988,21.56,78.44,0.105
3,4763.0,2.318,12.32,87.68,0.06
4,2335.0,3.554,7.39,92.61,0.036
5,971.0,4.52,5.13,94.87,0.025
6,462.0,4.12,2.26,97.74,0.011
7,337.0,3.639,1.03,98.97,0.005
8,328.0,3.383,0.82,99.18,0.004
9,324.0,3.594,0.82,99.18,0.004
10,322.0,3.405,0.82,99.18,0.004
11,322.0,3.468,0.82,99.18,0.004
12,322.0,3.255,0.82,99.18,0.004
13,322.0,3.455,0.82,99.18,0.004
14,322.0,3.351,0.82,99.18,0.004
15,322.0,3.255,0.62,99.38,0.003
16,322.0,3.401,0.62,99.38,0.003
17,322.0,3.499,0.82,99.18,0.004
18,322.0,3.429,0.82,99.18,0.004
19,322.0,3.307,0.62,99.38,0.003
20,322.0,3.22,0.62,99.38,0.003
21,322.0,3.284,0.62,99.38,0.003
22,322.0,3.599,0.82,99.18,0.004
23,322.0,3.259,0.62,99.38,0.003
24,322.0,3.265,0.62,99.38,0.003
25,322.0,3.29,0.62,99.38,0.003
26,322.0,3.337,0.82,99.18,0.004
27,322.0,3.197,0.82,99.18,0.004
28,322.0,3.037,0.62,99.38,0.003
29,322.0,3.255,0.82,99.18,0.004
30,322.0,3.278,0.82,99.18,0.004
