iter,fitness,time,XPL,XPT,DIV
0,71374.0,0.104,100.0,0.0,0.487
1,36200.0,1.175,45.17,54.83,0.22
2,17652.0,1.157,23.0,77.0,0.112
3,8440.0,1.136,12.11,87.89,0.059
4,3361.0,1.911,5.95,94.05,0.029
5,1279.0,4.85,3.49,96.51,0.017
6,275.0,6.01,2.05,97.95,0.01
7,123.0,4.656,1.03,98.97,0.005
8,89.0,4.685,0.62,99.38,0.003
9,87.0,4.465,0.62,99.38,0.003
10,85.0,4.26,0.41,99.59,0.002
11,83.0,4.179,0.41,99.59,0.002
12,83.0,4.48,0.41,99.59,0.002
13,83.0,4.383,0.41,99.59,0.002
14,83.0,4.255,0.41,99.59,0.002
15,83.0,4.154,0.41,99.59,0.002
16,82.0,3.898,0.41,99.59,0.002
17,82.0,4.514,0.41,99.59,0.002
18,82.0,4.118,0.41,99.59,0.002
19,82.0,4.514,0.41,99.59,0.002
20,82.0,4.446,0.41,99.59,0.002
21,82.0,4.452,0.41,99.59,0.002
22,82.0,4.237,0.41,99.59,0.002
23,82.0,4.31,0.41,99.59,0.002
24,82.0,3.952,0.41,99.59,0.002
25,82.0,3.968,0.41,99.59,0.002
26,82.0,4.369,0.41,99.59,0.002
27,82.0,4.135,0.41,99.59,0.002
28,82.0,4.278,0.41,99.59,0.002
29,82.0,4.461,0.41,99.59,0.002
30,82.0,3.861,0.41,99.59,0.002
