iter,fitness,time,XPL,XPT,DIV
0,49090.0,0.071,100.0,0.0,0.488
1,23090.0,0.818,45.29,54.71,0.221
2,10162.0,1.015,22.13,77.87,0.108
3,4256.0,2.609,12.09,87.91,0.059
4,1753.0,4.618,6.97,93.03,0.034
5,800.0,4.512,4.51,95.49,0.022
6,375.0,4.119,2.66,97.34,0.013
7,337.0,3.718,1.43,98.57,0.007
8,330.0,3.993,1.02,98.98,0.005
9,327.0,4.013,1.23,98.77,0.006
10,322.0,4.046,0.82,99.18,0.004
11,319.0,3.364,1.02,98.98,0.005
12,318.0,3.705,1.02,98.98,0.005
13,316.0,3.657,1.02,98.98,0.005
14,316.0,3.602,0.82,99.18,0.004
15,316.0,3.652,0.82,99.18,0.004
16,316.0,3.4,0.82,99.18,0.004
17,316.0,3.643,0.82,99.18,0.004
18,316.0,3.932,0.82,99.18,0.004
19,316.0,3.864,0.82,99.18,0.004
20,316.0,3.68,0.82,99.18,0.004
21,316.0,3.482,0.82,99.18,0.004
22,316.0,3.4,1.02,98.98,0.005
23,316.0,3.481,1.02,98.98,0.005
24,316.0,3.368,0.82,99.18,0.004
25,316.0,3.403,0.82,99.18,0.004
26,316.0,3.835,0.82,99.18,0.004
27,316.0,3.43,0.82,99.18,0.004
28,316.0,3.481,0.82,99.18,0.004
29,316.0,3.413,0.82,99.18,0.004
30,316.0,3.252,0.82,99.18,0.004
