iter,fitness,time,XPL,XPT,DIV
0,70125.0,0.103,100.0,0.0,0.488
1,41280.0,1.0,44.67,55.33,0.218
2,24119.0,0.975,26.23,73.77,0.128
3,13656.0,0.979,15.78,84.22,0.077
4,7423.0,1.03,9.22,90.78,0.045
5,3911.0,1.468,5.12,94.88,0.025
6,1836.0,3.232,3.69,96.31,0.018
7,752.0,4.68,2.46,97.54,0.012
8,261.0,4.467,1.43,98.57,0.007
9,106.0,4.116,0.82,99.18,0.004
10,90.0,4.519,0.61,99.39,0.003
11,83.0,4.165,0.41,99.59,0.002
12,82.0,4.391,0.41,99.59,0.002
13,80.0,4.449,0.41,99.59,0.002
14,80.0,4.356,0.41,99.59,0.002
15,80.0,4.732,0.41,99.59,0.002
16,80.0,4.183,0.41,99.59,0.002
17,80.0,4.096,0.2,99.8,0.001
18,80.0,4.204,0.2,99.8,0.001
19,80.0,4.13,0.41,99.59,0.002
20,80.0,4.062,0.41,99.59,0.002
21,80.0,4.236,0.41,99.59,0.002
22,80.0,3.946,0.2,99.8,0.001
23,80.0,4.05,0.2,99.8,0.001
24,80.0,3.82,0.2,99.8,0.001
25,79.0,3.906,0.2,99.8,0.001
26,79.0,4.234,0.41,99.59,0.002
27,79.0,3.957,0.41,99.59,0.002
28,79.0,4.336,0.41,99.59,0.002
29,79.0,4.113,0.41,99.59,0.002
30,79.0,4.331,0.61,99.39,0.003
