iter,fitness,time,XPL,XPT,DIV
0,70879.0,0.111,100.0,0.0,0.487
1,26240.0,1.301,44.56,55.44,0.217
2,7404.0,1.292,16.84,83.16,0.082
3,1642.0,4.555,6.16,93.84,0.03
4,263.0,8.85,2.46,97.54,0.012
5,88.0,7.351,1.03,98.97,0.005
6,84.0,5.333,0.41,99.59,0.002
7,82.0,4.964,0.41,99.59,0.002
8,80.0,5.078,0.41,99.59,0.002
9,80.0,5.391,0.41,99.59,0.002
10,80.0,5.09,0.41,99.59,0.002
11,80.0,5.053,0.41,99.59,0.002
12,80.0,4.798,0.21,99.79,0.001
13,80.0,5.379,0.41,99.59,0.002
14,80.0,5.175,0.41,99.59,0.002
15,80.0,4.974,0.41,99.59,0.002
16,80.0,5.063,0.21,99.79,0.001
17,79.0,5.001,0.41,99.59,0.002
18,79.0,5.691,0.41,99.59,0.002
19,79.0,5.108,0.41,99.59,0.002
20,79.0,5.291,0.41,99.59,0.002
21,79.0,5.755,0.41,99.59,0.002
22,79.0,5.447,0.41,99.59,0.002
23,79.0,5.442,0.41,99.59,0.002
24,79.0,5.358,0.41,99.59,0.002
25,79.0,4.995,0.41,99.59,0.002
26,79.0,5.897,0.41,99.59,0.002
27,79.0,5.579,0.41,99.59,0.002
28,79.0,5.156,0.41,99.59,0.002
29,79.0,4.94,0.41,99.59,0.002
30,79.0,4.892,0.41,99.59,0.002
