iter,fitness,time,XPL,XPT,DIV
0,71149.0,0.11,100.0,0.0,0.488
1,30750.0,1.342,45.08,54.92,0.22
2,15541.0,1.194,20.08,79.92,0.098
3,7114.0,1.214,9.84,90.16,0.048
4,3144.0,1.93,5.12,94.88,0.025
5,1170.0,5.234,3.69,96.31,0.018
6,422.0,6.062,2.46,97.54,0.012
7,131.0,5.061,1.43,98.57,0.007
8,76.0,4.683,0.82,99.18,0.004
9,74.0,5.035,0.61,99.39,0.003
10,72.0,4.57,0.41,99.59,0.002
11,72.0,4.56,0.2,99.8,0.001
12,72.0,4.407,0.41,99.59,0.002
13,72.0,4.351,0.41,99.59,0.002
14,72.0,4.222,0.41,99.59,0.002
15,72.0,4.261,0.41,99.59,0.002
16,72.0,4.536,0.41,99.59,0.002
17,72.0,4.256,0.2,99.8,0.001
18,72.0,4.093,0.2,99.8,0.001
19,72.0,4.271,0.2,99.8,0.001
20,72.0,4.326,0.41,99.59,0.002
21,72.0,4.582,0.2,99.8,0.001
22,72.0,4.715,0.2,99.8,0.001
23,72.0,4.366,0.41,99.59,0.002
24,72.0,4.512,0.41,99.59,0.002
25,72.0,4.558,0.2,99.8,0.001
26,72.0,4.532,0.41,99.59,0.002
27,72.0,4.106,0.41,99.59,0.002
28,72.0,4.009,0.2,99.8,0.001
29,72.0,4.059,0.41,99.59,0.002
30,72.0,4.021,0.2,99.8,0.001
