iter,fitness,time,XPL,XPT,DIV
0,23561.0,0.033,100.0,0.0,0.488
1,15030.0,0.408,40.16,59.84,0.196
2,9777.0,0.488,27.05,72.95,0.132
3,6159.0,0.848,19.47,80.53,0.095
4,3755.0,1.308,14.96,85.04,0.073
5,2409.0,1.527,9.43,90.57,0.046
6,1231.0,1.536,6.56,93.44,0.032
7,894.0,1.495,4.3,95.7,0.021
8,655.0,1.51,3.28,96.72,0.016
9,577.0,1.647,3.07,96.93,0.015
10,550.0,1.705,2.25,97.75,0.011
11,539.0,1.587,1.64,98.36,0.008
12,530.0,1.683,1.84,98.16,0.009
13,522.0,1.63,1.84,98.16,0.009
14,522.0,1.671,1.43,98.57,0.007
15,522.0,1.686,1.64,98.36,0.008
16,522.0,1.659,1.64,98.36,0.008
17,522.0,1.765,1.43,98.57,0.007
18,522.0,1.764,1.64,98.36,0.008
19,520.0,1.706,1.64,98.36,0.008
20,520.0,1.866,1.64,98.36,0.008
21,520.0,1.658,1.64,98.36,0.008
22,520.0,1.709,1.43,98.57,0.007
23,520.0,1.68,1.23,98.77,0.006
24,520.0,1.697,1.43,98.57,0.007
25,520.0,1.683,1.23,98.77,0.006
26,520.0,1.645,1.23,98.77,0.006
27,520.0,1.644,1.43,98.57,0.007
28,520.0,1.728,1.64,98.36,0.008
29,520.0,1.657,1.43,98.57,0.007
30,520.0,1.695,1.43,98.57,0.007
