iter,fitness,time,XPL,XPT,DIV
0,245827.0,0.512,100.0,0.0,0.487
1,94680.0,5.4,44.56,55.44,0.217
2,29979.0,5.347,17.04,82.96,0.083
3,7071.0,5.587,5.34,94.66,0.026
4,1528.0,64.614,1.85,98.15,0.009
5,175.0,104.492,1.03,98.97,0.005
6,61.0,68.649,0.41,99.59,0.002
7,59.0,60.622,0.21,99.79,0.001
8,59.0,57.468,0.21,99.79,0.001
9,58.0,54.644,0.21,99.79,0.001
10,58.0,57.826,0.21,99.79,0.001
11,57.0,53.424,0.21,99.79,0.001
12,57.0,57.924,0.21,99.79,0.001
13,57.0,53.676,0.21,99.79,0.001
14,57.0,50.329,0.21,99.79,0.001
15,57.0,52.246,0.21,99.79,0.001
16,57.0,50.962,0.21,99.79,0.001
17,57.0,54.87,0.21,99.79,0.001
18,56.0,52.443,0.21,99.79,0.001
19,56.0,54.129,0.21,99.79,0.001
20,56.0,51.825,0.21,99.79,0.001
21,56.0,53.623,0.21,99.79,0.001
22,56.0,50.077,0.21,99.79,0.001
23,56.0,48.981,0.21,99.79,0.001
24,56.0,51.011,0.21,99.79,0.001
25,56.0,44.217,0.21,99.79,0.001
26,56.0,49.172,0.21,99.79,0.001
27,56.0,48.145,0.0,100.0,0.0
28,56.0,48.097,0.21,99.79,0.001
29,56.0,50.585,0.21,99.79,0.001
30,56.0,48.711,0.21,99.79,0.001
