iter,fitness,time,XPL,XPT,DIV
0,248757.0,0.505,100.0,0.0,0.487
1,171697.0,4.277,41.27,58.73,0.201
2,117280.0,4.306,28.75,71.25,0.14
3,79588.0,4.304,19.92,80.08,0.097
4,53805.0,4.31,13.55,86.45,0.066
5,35254.0,4.308,9.45,90.55,0.046
6,22837.0,4.445,6.37,93.63,0.031
7,14913.0,6.415,4.11,95.89,0.02
8,9173.0,19.809,3.08,96.92,0.015
9,5605.0,58.891,2.46,97.54,0.012
10,3356.0,92.678,2.05,97.95,0.01
11,1782.0,103.747,1.64,98.36,0.008
12,949.0,98.626,1.03,98.97,0.005
13,501.0,95.498,0.82,99.18,0.004
14,284.0,91.055,0.62,99.38,0.003
15,190.0,89.433,0.41,99.59,0.002
16,184.0,90.258,0.41,99.59,0.002
17,182.0,91.249,0.41,99.59,0.002
18,181.0,90.615,0.41,99.59,0.002
19,179.0,92.658,0.21,99.79,0.001
20,179.0,93.912,0.41,99.59,0.002
21,179.0,92.877,0.21,99.79,0.001
22,179.0,93.394,0.41,99.59,0.002
23,179.0,93.927,0.41,99.59,0.002
24,179.0,93.202,0.21,99.79,0.001
25,179.0,88.629,0.21,99.79,0.001
26,179.0,96.415,0.41,99.59,0.002
27,179.0,92.637,0.21,99.79,0.001
28,178.0,93.339,0.41,99.59,0.002
29,178.0,93.332,0.41,99.59,0.002
30,178.0,95.354,0.41,99.59,0.002
