iter,fitness,time,XPL,XPT,DIV
120,0.0032192550710872874,0.005,0.01,99.99,0.005
121,0.0019841689247878215,0.005,0.01,99.99,0.005
122,0.0018443976373474285,0.005,0.01,99.99,0.004
123,0.001614026572249954,0.006,0.01,99.99,0.003
124,0.0011476047870150712,0.005,0.01,99.99,0.003
125,0.0011476047870150712,0.006,0.01,99.99,0.003
126,0.0004519581319743335,0.004,0.01,99.99,0.003
127,0.0004519581319743335,0.005,0.0,100.0,0.002
128,0.0004519581319743335,0.005,0.01,99.99,0.003
129,0.0004519581319743335,0.005,0.0,100.0,0.002
130,0.0004519581319743335,0.005,0.0,100.0,0.001
131,0.00022695099212531933,0.006,0.0,100.0,0.002
132,0.00016391621160516992,0.005,0.0,100.0,0.001
133,0.00016391621160516992,0.005,0.0,100.0,0.001
134,9.590917089456303e-05,0.005,0.0,100.0,0.001
135,8.513502662876074e-05,0.005,0.0,100.0,0.001
136,4.943793680776243e-05,0.004,0.0,100.0,0.001
137,3.0368389661284336e-05,0.005,0.0,100.0,0.001
138,2.824741290652763e-05,0.005,0.0,100.0,0.001
139,1.9203100090236096e-05,0.005,0.0,100.0,0.0
140,1.9203100090236096e-05,0.004,0.0,100.0,0.0
141,1.383968010426243e-05,0.005,0.0,100.0,0.0
142,9.844524437798512e-06,0.005,0.0,100.0,0.0
143,4.705321627019719e-06,0.005,0.0,100.0,0.0
144,4.705321627019719e-06,0.004,0.0,100.0,0.0
145,4.705321627019719e-06,0.005,0.0,100.0,0.0
146,4.705321627019719e-06,0.005,0.0,100.0,0.0
147,4.705321627019719e-06,0.005,0.0,100.0,0.0
148,4.705321627019719e-06,0.004,0.0,100.0,0.0
149,4.705321627019719e-06,0.005,0.0,100.0,0.0
150,4.705321627019719e-06,0.005,0.0,100.0,0.0
151,4.705321627019719e-06,0.005,0.0,100.0,0.0
152,4.705321627019719e-06,0.005,0.0,100.0,0.0
153,4.705321627019719e-06,0.004,0.0,100.0,0.0
154,4.705321627019719e-06,0.006,0.0,100.0,0.0
155,4.705321627019719e-06,0.004,0.0,100.0,0.0
156,4.705321627019719e-06,0.005,0.0,100.0,0.0
157,3.573313547194781e-06,0.006,0.0,100.0,0.0
158,3.573313547194781e-06,0.005,0.0,100.0,0.0
159,2.139223722445316e-06,0.005,0.0,100.0,0.0
160,2.139223722445316e-06,0.005,0.0,100.0,0.0
161,2.139223722445316e-06,0.005,0.0,100.0,0.0
162,1.5460554962853224e-06,0.004,0.0,100.0,0.0
163,1.4404947582063716e-06,0.005,0.0,100.0,0.0
164,9.529555148091217e-07,0.005,0.0,100.0,0.0
165,9.529555148091217e-07,0.005,0.0,100.0,0.0
166,9.529555148091217e-07,0.004,0.0,100.0,0.0
167,9.088967137247602e-07,0.005,0.0,100.0,0.0
168,7.350898806988505e-07,0.005,0.0,100.0,0.0
169,7.350898806988505e-07,0.005,0.0,100.0,0.0
170,5.750873406317896e-07,0.005,0.0,100.0,0.0
171,5.359827604628183e-07,0.004,0.0,100.0,0.0
172,3.360310913733559e-07,0.005,0.0,100.0,0.0
173,3.360310913733559e-07,0.006,0.0,100.0,0.0
174,3.360310913733559e-07,0.005,0.0,100.0,0.0
175,3.360310913733559e-07,0.006,0.0,100.0,0.0
176,3.360310913733559e-07,0.005,0.0,100.0,0.0
177,3.360310913733559e-07,0.005,0.0,100.0,0.0
178,3.360310913733559e-07,0.005,0.0,100.0,0.0
179,3.360310913733559e-07,0.004,0.0,100.0,0.0
180,3.360310913733559e-07,0.005,0.0,100.0,0.0
181,3.360310913733559e-07,0.005,0.0,100.0,0.0
182,3.360310913733559e-07,0.006,0.0,100.0,0.0
183,3.360310913733559e-07,0.005,0.0,100.0,0.0
184,3.360310913733559e-07,0.005,0.0,100.0,0.0
185,3.360310913733559e-07,0.006,0.0,100.0,0.0
186,3.360310913733559e-07,0.005,0.0,100.0,0.0
187,2.582755450903743e-07,0.006,0.0,100.0,0.0
188,2.4930158948827864e-07,0.006,0.0,100.0,0.0
189,2.4930158948827864e-07,0.005,0.0,100.0,0.0
190,2.4930158948827864e-07,0.006,0.0,100.0,0.0
191,1.8719108967883624e-07,0.004,0.0,100.0,0.0
192,1.7436359434834026e-07,0.005,0.0,100.0,0.0
193,1.1726381960924551e-07,0.005,0.0,100.0,0.0
194,1.1726381960924551e-07,0.004,0.0,100.0,0.0
195,1.1726381960924551e-07,0.004,0.0,100.0,0.0
196,1.1726381960924551e-07,0.005,0.0,100.0,0.0
197,1.1726381960924551e-07,0.005,0.0,100.0,0.0
198,1.1726381960924551e-07,0.005,0.0,100.0,0.0
199,1.0442906537890777e-07,0.004,0.0,100.0,0.0
200,1.0437157492294242e-07,0.006,0.0,100.0,0.0
201,1.0437157492294242e-07,0.004,0.0,100.0,0.0
202,1.0437157492294242e-07,0.004,0.0,100.0,0.0
203,8.723140710826996e-08,0.005,0.0,100.0,0.0
204,2.6146168413348563e-08,0.005,0.0,100.0,0.0
205,2.1679569665467618e-08,0.005,0.0,100.0,0.0
206,1.7189731844831486e-08,0.004,0.0,100.0,0.0
207,1.2987274803981244e-08,0.005,0.0,100.0,0.0
208,8.707618778584867e-09,0.005,0.0,100.0,0.0
209,8.707618778584867e-09,0.005,0.0,100.0,0.0
210,7.042922477755198e-09,0.004,0.0,100.0,0.0
211,5.793220336902423e-09,0.005,0.0,100.0,0.0
212,3.493606343167712e-09,0.005,0.0,100.0,0.0
213,2.5809359106876768e-09,0.005,0.0,100.0,0.0
214,2.5809359106876768e-09,0.005,0.0,100.0,0.0
215,2.5809359106876768e-09,0.004,0.0,100.0,0.0
216,2.3238395646238737e-09,0.005,0.0,100.0,0.0
217,2.1697385451221634e-09,0.005,0.0,100.0,0.0
218,2.1697385451221634e-09,0.005,0.0,100.0,0.0
219,2.1697385451221634e-09,0.005,0.0,100.0,0.0
220,1.279197593328414e-09,0.004,0.0,100.0,0.0
221,1.1654406762084963e-09,0.005,0.0,100.0,0.0
222,1.1654406762084963e-09,0.005,0.0,100.0,0.0
223,1.0625123477309952e-09,0.005,0.0,100.0,0.0
224,3.859783771336173e-10,0.004,0.0,100.0,0.0
225,3.859783771336173e-10,0.005,0.0,100.0,0.0
226,3.859783771336173e-10,0.006,0.0,100.0,0.0
227,3.859783771336173e-10,0.004,0.0,100.0,0.0
228,3.859783771336173e-10,0.005,0.0,100.0,0.0
229,3.2154272144375895e-10,0.005,0.0,100.0,0.0
230,2.705671551657503e-10,0.005,0.0,100.0,0.0
231,2.705671551657503e-10,0.005,0.0,100.0,0.0
232,2.705671551657503e-10,0.004,0.0,100.0,0.0
233,1.404047616959264e-10,0.005,0.0,100.0,0.0
234,1.404047616959264e-10,0.005,0.0,100.0,0.0
235,1.404047616959264e-10,0.005,0.0,100.0,0.0
236,1.404047616959264e-10,0.005,0.0,100.0,0.0
237,1.404047616959264e-10,0.004,0.0,100.0,0.0
238,1.3611511647306003e-10,0.005,0.0,100.0,0.0
239,7.93803477951244e-11,0.005,0.0,100.0,0.0
240,7.61129342436642e-11,0.005,0.0,100.0,0.0
241,7.337019239167442e-11,0.005,0.0,100.0,0.0
