iter,fitness,time,XPL,XPT,DIV
0,47455.0,0.067,100.0,0.0,0.488
1,31756.0,0.781,39.14,60.86,0.191
2,20897.0,0.765,27.05,72.95,0.132
3,13882.0,0.867,18.24,81.76,0.089
4,9010.0,1.083,12.7,87.3,0.062
5,5295.0,1.866,9.63,90.37,0.047
6,3052.0,2.744,7.17,92.83,0.035
7,1673.0,3.211,5.53,94.47,0.027
8,1014.0,3.341,4.1,95.9,0.02
9,579.0,3.693,2.87,97.13,0.014
10,444.0,3.928,1.84,98.16,0.009
11,342.0,3.25,1.23,98.77,0.006
12,337.0,3.273,1.02,98.98,0.005
13,333.0,3.102,1.23,98.77,0.006
14,327.0,3.15,1.02,98.98,0.005
15,324.0,3.064,1.02,98.98,0.005
16,322.0,3.232,1.02,98.98,0.005
17,320.0,3.286,0.82,99.18,0.004
18,320.0,3.306,0.82,99.18,0.004
19,318.0,3.162,0.82,99.18,0.004
20,318.0,3.012,0.82,99.18,0.004
21,316.0,3.003,0.82,99.18,0.004
22,316.0,3.073,0.82,99.18,0.004
23,316.0,3.091,0.61,99.39,0.003
24,316.0,3.156,0.82,99.18,0.004
25,316.0,3.038,1.02,98.98,0.005
26,316.0,3.094,0.82,99.18,0.004
27,316.0,3.12,0.82,99.18,0.004
28,316.0,3.057,1.02,98.98,0.005
29,316.0,3.016,0.82,99.18,0.004
30,316.0,3.034,0.82,99.18,0.004
